Run,Channel,Bias [dac],Bias [V],Err Bias [V],OV [V],Err OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,
33920,20,1161,45.559,0.0164435,3.089,0.210643,1000,64.0647,121,640.647,123,148,1738.12,2.12639,86.4661,189.485,7.70107,0.0949519,110.5,0.121784,0.0194161,1.14465,0.0225735,1.1596,1.26716,,
33920,27,1161,45.559,0.0164435,3.719,0.240563,1000,64.5099,121,645.099,123,148,1871.05,2.42163,91.1701,179.708,8.04076,0.135041,110.5,0.121137,0.0233496,1.5196,0.0360061,1.54109,1.66705,,
33921,20,1161,45.559,0.0164435,3.089,0.210643,1100,56.8809,121,568.809,123,148,1524.12,1.80858,76.1567,215.135,7.84839,0.0937655,110.5,0.14731,0.0190933,1.15668,0.0226469,1.16602,1.29734,,
33921,27,1161,45.559,0.0164435,3.719,0.240563,1100,56.3958,121,563.958,123,148,1641.82,2.14842,79.7052,205.558,8.28182,0.138683,110.5,0.11038,0.0230324,1.52892,0.0357468,1.55451,1.66022,,
33922,20,1161,45.559,0.0164435,3.089,0.210643,1200,49.9365,121,499.365,123,148,1351.75,1.69241,67.4132,243.038,7.75609,0.0947662,110.5,0.116824,0.0194899,1.15381,0.0227822,1.16689,1.26809,,
33922,27,1161,45.559,0.0164435,3.719,0.240563,1200,50.2773,121,502.773,123,148,1456.86,1.85664,70.4794,232.465,8.10086,0.130352,110.5,0.13089,0.0225101,1.50601,0.034814,1.52679,1.65785,,
33923,20,1161,45.559,0.0164435,3.089,0.210643,1300,42.2463,121,422.463,123,148,1142.87,1.39346,56.6028,289.456,7.85194,0.097488,110.5,0.118392,0.0194852,1.17757,0.023215,1.19207,1.29011,,
33923,27,1161,45.559,0.0164435,3.719,0.240563,1300,42.6588,121,426.588,123,148,1231.2,1.5665,59.9524,273.284,8.20017,0.135681,110.5,0.134699,0.0225498,1.5005,0.0345991,1.51956,1.66107,,
33924,20,1161,45.559,0.0164435,3.089,0.210643,1400,35.7072,121,357.072,123,148,960.451,1.17217,47.4055,345.614,7.53591,0.0908419,110.5,0.123108,0.0190806,1.16824,0.0227067,1.18243,1.29132,,
33924,27,1161,45.559,0.0164435,3.719,0.240563,1400,36.4791,121,364.791,123,148,1031.77,1.28449,49.9952,327.711,7.89425,0.120918,110.5,0.131295,0.021749,1.50704,0.0337078,1.52097,1.66398,,
33925,20,1161,45.559,0.0164435,3.089,0.210643,1500,30.9798,121,309.798,123,148,831.159,1.038,40.8257,401.316,7.78829,0.0990426,110.5,0.120811,0.019107,1.18835,0.0231604,1.19518,1.29605,,
33925,27,1161,45.559,0.0164435,3.719,0.240563,1500,31.125,121,311.25,123,148,895.353,1.17351,44.2358,370.379,8.0318,0.129206,110.5,0.103697,0.0221122,1.5362,0.0345212,1.5649,1.66824,,
33926,20,1161,45.559,0.0164435,3.089,0.210643,1600,27.5887,121,275.887,123,148,734.8,0.944671,36.049,454.493,7.48049,0.0918749,110.5,0.119421,0.019002,1.17494,0.0227034,1.19293,1.2987,,
33926,27,1161,45.559,0.0164435,3.719,0.240563,1600,27.5735,121,275.735,123,148,790.224,1.03576,38.4982,425.578,8.04621,0.133819,110.5,0.116732,0.0221684,1.53155,0.0346047,1.54819,1.66531,,
33927,20,1161,45.559,0.0164435,3.089,0.210643,1700,23.565,121,235.65,123,148,625.828,0.760233,30.7911,532.101,7.27267,0.0878471,110.5,0.126068,0.0188181,1.18613,0.0227747,1.20195,1.31395,,
33927,27,1161,45.559,0.0164435,3.719,0.240563,1700,23.8457,121,238.457,123,148,673.019,0.893584,32.7011,501.023,7.89903,0.123785,110.5,0.116341,0.021794,1.54554,0.0343949,1.55705,1.68042,,
33928,20,1161,45.559,0.0164435,3.089,0.210643,1800,19.9335,121,199.335,123,148,521.355,0.687531,25.549,641.277,7.26374,0.084408,95.2206,0.127974,0.0190128,1.16817,0.0225772,1.18244,1.29622,,
33928,27,1161,45.559,0.0164435,3.719,0.240563,1800,20.0167,121,200.167,123,148,566.898,0.704182,27.3739,598.527,7.84419,0.125997,95.2206,0.102777,0.0218296,1.55355,0.0344017,1.57312,1.6783,,
33929,20,1161,45.559,0.0164435,3.089,0.210643,1900,17.2672,121,172.672,123,148,445.387,0.589855,22.1356,740.165,7.13629,0.0818258,107.55,0.125166,0.0191171,1.17747,0.0227642,1.19409,1.2979,,
33929,27,1161,45.559,0.0164435,3.719,0.240563,1900,17.6309,121,176.309,123,148,480.566,0.611773,23.4674,698.16,7.44187,0.111153,107.55,0.131228,0.0212723,1.53171,0.033242,1.54717,1.69995,,
33930,20,1161,45.559,0.0164435,3.089,0.210643,2000,15.605,121,156.05,123,148,393.7,0.524793,19.2788,849.843,6.72819,0.074104,100.653,0.127125,0.0186352,1.17086,0.0222479,1.18241,1.29876,,
33930,27,1161,45.559,0.0164435,3.719,0.240563,2000,15.4564,121,154.564,123,148,423.143,0.576706,20.6383,793.863,7.1877,0.111589,100.653,0.112207,0.0214513,1.52842,0.0333723,1.55087,1.69056,,
33931,20,1161,45.559,0.0164435,3.089,0.210643,2100,13.7114,121,137.114,123,148,337.108,0.468096,16.6904,981.644,6.48365,0.0715578,116.037,0.105567,0.0185195,1.1806,0.0221586,1.1923,1.29493,,
33931,27,1161,45.559,0.0164435,3.719,0.240563,2100,13.843,121,138.43,123,148,360.985,0.495302,17.5058,935.919,6.90594,0.100303,116.037,0.116885,0.020864,1.53494,0.0326966,1.54745,1.68342,,
33932,20,1161,45.559,0.0164435,3.089,0.210643,2200,11.7263,121,117.263,123,148,281.163,0.425582,13.7854,1188.5,6.0859,0.0649083,71.8572,0.129906,0.0185034,1.16662,0.0221105,1.17596,1.29282,,
33932,27,1161,45.559,0.0164435,3.719,0.240563,2200,11.456,121,114.56,123,148,306.93,0.453332,14.6771,1116.3,6.78229,0.100592,71.8572,0.116884,0.0211958,1.51816,0.0328646,1.5403,1.66907,,
33933,20,1161,45.559,0.0164435,3.089,0.210643,2300,10.3957,121,103.957,123,148,237.514,0.366405,11.8068,1387.68,5.66379,0.061071,76.4192,0.114472,0.0182951,1.19797,0.0223112,1.21326,1.31223,,
33933,27,1161,45.559,0.0164435,3.719,0.240563,2300,10.4686,121,104.686,123,148,256.244,0.387657,12.4481,1316.18,6.39036,0.0926118,76.4192,0.127108,0.0203757,1.52919,0.0319551,1.54518,1.69307,,
33934,20,1161,45.559,0.0164435,3.089,0.210643,2400,9.52329,121,95.2329,123,148,208.861,0.354571,10.2328,1601.13,5.38814,0.0578722,78.7486,0.121615,0.0180221,1.18269,0.0217059,1.19396,1.30374,,
33934,27,1161,45.559,0.0164435,3.719,0.240563,2400,9.21999,121,92.1999,123,148,224.936,0.351803,11.0338,1484.89,6.02297,0.0807748,78.7486,0.116762,0.0208788,1.5565,0.0333552,1.5637,1.69415,,
33935,20,1161,45.559,0.0164435,3.089,0.210643,2500,8.66856,121,86.6856,123,148,182.483,0.350204,8.97007,1826.52,4.93007,0.0541538,69.09,0.114543,0.0180939,1.16711,0.0214155,1.18062,1.28372,,
33935,27,1161,45.559,0.0164435,3.719,0.240563,2500,8.46777,121,84.6777,123,148,195.873,0.323632,9.59499,1707.56,5.59883,0.0733262,69.09,0.110344,0.0203694,1.52586,0.0317577,1.54962,1.67834,,
33936,20,1161,45.559,0.0164435,3.089,0.210643,2600,7.7961,121,77.961,123,148,151.575,0.336625,7.46218,2195.6,4.3144,0.046918,84.5368,0.131091,0.0177177,1.15848,0.0210416,1.16474,1.28258,,
33936,27,1161,45.559,0.0164435,3.719,0.240563,2600,7.55886,121,75.5886,123,148,165.347,0.320932,7.90167,2073.49,5.14797,0.0695652,84.5368,0.111911,0.0200825,1.54104,0.0315388,1.55534,1.70048,,
33937,20,1161,45.559,0.0164435,3.089,0.210643,2700,7.19019,121,71.9019,123,148,127.301,0.362796,6.19412,2645.09,3.80578,0.0452434,95.805,0.118902,0.0174899,1.18014,0.021083,1.18952,1.3088,,
33937,27,1161,45.559,0.0164435,3.719,0.240563,2700,6.82365,121,68.2365,123,148,136.754,0.310825,6.64117,2467.03,4.41751,0.0614862,95.805,0.0996419,0.0201133,1.53034,0.0310665,1.54919,1.6713,,
33938,20,1161,45.559,0.0164435,3.089,0.210643,2800,6.81654,121,68.1654,123,148,111.406,0.42129,5.4863,2986.35,3.32769,0.0457362,89.4957,0.12007,0.0173038,1.19252,0.0210786,1.20106,1.30518,,
33938,27,1161,45.559,0.0164435,3.719,0.240563,2800,6.50502,121,65.0502,123,148,119.218,0.311377,5.77106,2838.99,4.08752,0.0573771,89.4957,0.0993803,0.0193396,1.56154,0.0306296,1.58505,1.70738,,
33939,20,1161,45.559,0.0164435,3.089,0.210643,2900,6.62985,121,66.2985,123,148,99.3226,0.432426,4.79646,3415.85,3.09439,0.0464975,103.788,0.135869,0.0168587,1.19044,0.0206777,1.19217,1.32153,,
33939,27,1161,45.559,0.0164435,3.719,0.240563,2900,6.17277,121,61.7277,123,148,106.951,0.340084,5.14214,3186.22,3.79507,0.0557304,103.788,0.118092,0.0188193,1.51727,0.0290088,1.55414,1.70342,,
34061,20,1161,45.559,0.0164435,3.089,0.210643,3000,6.17277,121,61.7277,123,148,91.0935,0.470812,4.47637,3660.11,2.96808,0.0472409,64.269,0.11686,0.0174729,1.16136,0.020619,1.17324,1.28317,,
34061,27,1161,45.559,0.0164435,3.719,0.240563,3000,6.17277,121,61.7277,123,148,98.6792,0.371485,4.71047,3478.21,3.36464,0.0548565,64.269,0.117739,0.0184424,1.5292,0.028817,1.55124,1.69646,,
33920,20,1161,45.559,0.0164435,3.089,0.210643,1000,64.0647,121,640.647,123,148,1738.12,2.12639,86.4661,189.485,7.70107,0.0949519,110.5,0.121784,0.0194161,1.14465,0.0225735,1.1596,1.26716,,
33920,27,1161,45.559,0.0164435,3.719,0.240563,1000,64.5099,121,645.099,123,148,1871.05,2.42163,91.1701,179.708,8.04076,0.135041,110.5,0.121137,0.0233496,1.5196,0.0360061,1.54109,1.66705,,
33921,20,1161,45.559,0.0164435,3.089,0.210643,1100,56.8809,121,568.809,123,148,1524.12,1.80858,76.1567,215.135,7.84839,0.0937655,110.5,0.14731,0.0190933,1.15668,0.0226469,1.16602,1.29734,,
33921,27,1161,45.559,0.0164435,3.719,0.240563,1100,56.3958,121,563.958,123,148,1641.82,2.14842,79.7052,205.558,8.28182,0.138683,110.5,0.11038,0.0230324,1.52892,0.0357468,1.55451,1.66022,,
33922,20,1161,45.559,0.0164435,3.089,0.210643,1200,49.9365,121,499.365,123,148,1351.75,1.69241,67.4132,243.038,7.75609,0.0947662,110.5,0.116824,0.0194899,1.15381,0.0227822,1.16689,1.26809,,
33922,27,1161,45.559,0.0164435,3.719,0.240563,1200,50.2773,121,502.773,123,148,1456.86,1.85664,70.4794,232.465,8.10086,0.130352,110.5,0.13089,0.0225101,1.50601,0.034814,1.52679,1.65785,,
33923,20,1161,45.559,0.0164435,3.089,0.210643,1300,42.2463,121,422.463,123,148,1142.87,1.39346,56.6028,289.456,7.85194,0.097488,110.5,0.118392,0.0194852,1.17757,0.023215,1.19207,1.29011,,
33923,27,1161,45.559,0.0164435,3.719,0.240563,1300,42.6588,121,426.588,123,148,1231.2,1.5665,59.9524,273.284,8.20017,0.135681,110.5,0.134699,0.0225498,1.5005,0.0345991,1.51956,1.66107,,
33924,20,1161,45.559,0.0164435,3.089,0.210643,1400,35.7072,121,357.072,123,148,960.451,1.17217,47.4055,345.614,7.53591,0.0908419,110.5,0.123108,0.0190806,1.16824,0.0227067,1.18243,1.29132,,
33924,27,1161,45.559,0.0164435,3.719,0.240563,1400,36.4791,121,364.791,123,148,1031.77,1.28449,49.9952,327.711,7.89425,0.120918,110.5,0.131295,0.021749,1.50704,0.0337078,1.52097,1.66398,,
33925,20,1161,45.559,0.0164435,3.089,0.210643,1500,30.9798,121,309.798,123,148,831.159,1.038,40.8257,401.316,7.78829,0.0990426,110.5,0.120811,0.019107,1.18835,0.0231604,1.19518,1.29605,,
33925,27,1161,45.559,0.0164435,3.719,0.240563,1500,31.125,121,311.25,123,148,895.353,1.17351,44.2358,370.379,8.0318,0.129206,110.5,0.103697,0.0221122,1.5362,0.0345212,1.5649,1.66824,,
33926,20,1161,45.559,0.0164435,3.089,0.210643,1600,27.5887,121,275.887,123,148,734.8,0.944671,36.049,454.493,7.48049,0.0918749,110.5,0.119421,0.019002,1.17494,0.0227034,1.19293,1.2987,,
33926,27,1161,45.559,0.0164435,3.719,0.240563,1600,27.5735,121,275.735,123,148,790.224,1.03576,38.4982,425.578,8.04621,0.133819,110.5,0.116732,0.0221684,1.53155,0.0346047,1.54819,1.66531,,
33927,20,1161,45.559,0.0164435,3.089,0.210643,1700,23.565,121,235.65,123,148,625.828,0.760233,30.7911,532.101,7.27267,0.0878471,110.5,0.126068,0.0188181,1.18613,0.0227747,1.20195,1.31395,,
33927,27,1161,45.559,0.0164435,3.719,0.240563,1700,23.8457,121,238.457,123,148,673.019,0.893584,32.7011,501.023,7.89903,0.123785,110.5,0.116341,0.021794,1.54554,0.0343949,1.55705,1.68042,,
33928,20,1161,45.559,0.0164435,3.089,0.210643,1800,19.9335,121,199.335,123,148,521.355,0.687531,25.549,641.277,7.26374,0.084408,95.2206,0.127974,0.0190128,1.16817,0.0225772,1.18244,1.29622,,
33928,27,1161,45.559,0.0164435,3.719,0.240563,1800,20.0167,121,200.167,123,148,566.898,0.704182,27.3739,598.527,7.84419,0.125997,95.2206,0.102777,0.0218296,1.55355,0.0344017,1.57312,1.6783,,
33929,20,1161,45.559,0.0164435,3.089,0.210643,1900,17.2672,121,172.672,123,148,445.387,0.589855,22.1356,740.165,7.13629,0.0818258,107.55,0.125166,0.0191171,1.17747,0.0227642,1.19409,1.2979,,
33929,27,1161,45.559,0.0164435,3.719,0.240563,1900,17.6309,121,176.309,123,148,480.566,0.611773,23.4674,698.16,7.44187,0.111153,107.55,0.131228,0.0212723,1.53171,0.033242,1.54717,1.69995,,
33930,20,1161,45.559,0.0164435,3.089,0.210643,2000,15.605,121,156.05,123,148,393.7,0.524793,19.2788,849.843,6.72819,0.074104,100.653,0.127125,0.0186352,1.17086,0.0222479,1.18241,1.29876,,
33930,27,1161,45.559,0.0164435,3.719,0.240563,2000,15.4564,121,154.564,123,148,423.143,0.576706,20.6383,793.863,7.1877,0.111589,100.653,0.112207,0.0214513,1.52842,0.0333723,1.55087,1.69056,,
33931,20,1161,45.559,0.0164435,3.089,0.210643,2100,13.7114,121,137.114,123,148,337.108,0.468096,16.6904,981.644,6.48365,0.0715578,116.037,0.105567,0.0185195,1.1806,0.0221586,1.1923,1.29493,,
33931,27,1161,45.559,0.0164435,3.719,0.240563,2100,13.843,121,138.43,123,148,360.985,0.495302,17.5058,935.919,6.90594,0.100303,116.037,0.116885,0.020864,1.53494,0.0326966,1.54745,1.68342,,
33932,20,1161,45.559,0.0164435,3.089,0.210643,2200,11.7263,121,117.263,123,148,281.163,0.425582,13.7854,1188.5,6.0859,0.0649083,71.8572,0.129906,0.0185034,1.16662,0.0221105,1.17596,1.29282,,
33932,27,1161,45.559,0.0164435,3.719,0.240563,2200,11.456,121,114.56,123,148,306.93,0.453332,14.6771,1116.3,6.78229,0.100592,71.8572,0.116884,0.0211958,1.51816,0.0328646,1.5403,1.66907,,
33933,20,1161,45.559,0.0164435,3.089,0.210643,2300,10.3957,121,103.957,123,148,237.514,0.366405,11.8068,1387.68,5.66379,0.061071,76.4192,0.114472,0.0182951,1.19797,0.0223112,1.21326,1.31223,,
33933,27,1161,45.559,0.0164435,3.719,0.240563,2300,10.4686,121,104.686,123,148,256.244,0.387657,12.4481,1316.18,6.39036,0.0926118,76.4192,0.127108,0.0203757,1.52919,0.0319551,1.54518,1.69307,,
33934,20,1161,45.559,0.0164435,3.089,0.210643,2400,9.52329,121,95.2329,123,148,208.861,0.354571,10.2328,1601.13,5.38814,0.0578722,78.7486,0.121615,0.0180221,1.18269,0.0217059,1.19396,1.30374,,
33934,27,1161,45.559,0.0164435,3.719,0.240563,2400,9.21999,121,92.1999,123,148,224.936,0.351803,11.0338,1484.89,6.02297,0.0807748,78.7486,0.116762,0.0208788,1.5565,0.0333552,1.5637,1.69415,,
33935,20,1161,45.559,0.0164435,3.089,0.210643,2500,8.66856,121,86.6856,123,148,182.483,0.350204,8.97007,1826.52,4.93007,0.0541538,69.09,0.114543,0.0180939,1.16711,0.0214155,1.18062,1.28372,,
33935,27,1161,45.559,0.0164435,3.719,0.240563,2500,8.46777,121,84.6777,123,148,195.873,0.323632,9.59499,1707.56,5.59883,0.0733262,69.09,0.110344,0.0203694,1.52586,0.0317577,1.54962,1.67834,,
33936,20,1161,45.559,0.0164435,3.089,0.210643,2600,7.7961,121,77.961,123,148,151.575,0.336625,7.46218,2195.6,4.3144,0.046918,84.5368,0.131091,0.0177177,1.15848,0.0210416,1.16474,1.28258,,
33936,27,1161,45.559,0.0164435,3.719,0.240563,2600,7.55886,121,75.5886,123,148,165.347,0.320932,7.90167,2073.49,5.14797,0.0695652,84.5368,0.111911,0.0200825,1.54104,0.0315388,1.55534,1.70048,,
33937,20,1161,45.559,0.0164435,3.089,0.210643,2700,7.19019,121,71.9019,123,148,127.301,0.362796,6.19412,2645.09,3.80578,0.0452434,95.805,0.118902,0.0174899,1.18014,0.021083,1.18952,1.3088,,
33937,27,1161,45.559,0.0164435,3.719,0.240563,2700,6.82365,121,68.2365,123,148,136.754,0.310825,6.64117,2467.03,4.41751,0.0614862,95.805,0.0996419,0.0201133,1.53034,0.0310665,1.54919,1.6713,,
33938,20,1161,45.559,0.0164435,3.089,0.210643,2800,6.81654,121,68.1654,123,148,111.406,0.42129,5.4863,2986.35,3.32769,0.0457362,89.4957,0.12007,0.0173038,1.19252,0.0210786,1.20106,1.30518,,
33938,27,1161,45.559,0.0164435,3.719,0.240563,2800,6.50502,121,65.0502,123,148,119.218,0.311377,5.77106,2838.99,4.08752,0.0573771,89.4957,0.0993803,0.0193396,1.56154,0.0306296,1.58505,1.70738,,
