Run,Channel,Bias [dac],Bias [V],Err Bias [V],OV [V],Err OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,
33940,20,1148,45.064,0.0232564,2.594,0.211284,1000,64.0647,121,640.647,123,148,1469.7,2.19282,72.773,225.139,6.67966,0.0766032,110.5,0.0942379,0.0190209,1.09492,0.021027,1.1069,1.17018,,
33940,27,1148,45.064,0.0232564,3.224,0.241124,1000,64.5099,121,645.099,123,148,1618.47,2.28277,77.9943,210.067,7.16292,0.107549,110.5,0.122532,0.0216984,1.4104,0.0314013,1.42689,1.55234,,
33941,20,1148,45.064,0.0232564,2.594,0.211284,1100,56.8809,121,568.809,123,148,1284.38,1.88409,63.0754,259.753,6.60584,0.0735464,110.5,0.0876815,0.0186923,1.11143,0.0208559,1.12726,1.19002,,
33941,27,1148,45.064,0.0232564,3.224,0.241124,1100,56.3958,121,563.958,123,148,1418.4,2.07024,69.7952,234.744,7.15865,0.109101,110.5,0.0745809,0.0215316,1.48233,0.0322404,1.51901,1.5692,,
33942,20,1148,45.064,0.0232564,2.594,0.211284,1200,49.9365,121,499.365,123,148,1140.97,1.74092,56.3384,290.814,6.61831,0.0737409,110.5,0.0863254,0.0189587,1.10011,0.0210102,1.11275,1.16922,,
33942,27,1148,45.064,0.0232564,3.224,0.241124,1200,50.2773,121,502.773,123,148,1262.91,1.84731,61.8203,265.026,6.98325,0.106822,110.5,0.0878978,0.0216023,1.46683,0.0320322,1.49298,1.57622,,
33943,20,1148,45.064,0.0232564,2.594,0.211284,1300,42.2463,121,422.463,123,148,962.227,1.42415,47.9373,341.78,6.67188,0.0771623,110.5,0.0796794,0.0188405,1.10144,0.0208443,1.11677,1.16552,,
33943,27,1148,45.064,0.0232564,3.224,0.241124,1300,42.6588,121,426.588,123,148,1068.06,1.58828,51.6306,317.331,7.12267,0.1069,110.5,0.0976599,0.0217513,1.46509,0.0322081,1.48563,1.57787,,
33944,20,1148,45.064,0.0232564,2.594,0.211284,1400,35.7072,121,357.072,123,148,809.647,1.21284,39.8275,411.375,6.67448,0.0748084,110.5,0.0907911,0.0185305,1.11063,0.0207855,1.12718,1.17951,,
33944,27,1148,45.064,0.0232564,3.224,0.241124,1400,36.4791,121,364.791,123,148,896.376,1.25704,43.5501,376.211,7.01591,0.0970664,110.5,0.0994665,0.0208784,1.45185,0.0307521,1.4658,1.56966,,
33945,20,1148,45.064,0.0232564,2.594,0.211284,1500,30.9798,121,309.798,123,148,697.401,1.02069,34.7218,471.866,6.3822,0.069755,110.5,0.102317,0.0187407,1.08396,0.0204851,1.09671,1.16589,,
