Run,Channel,Bias [dac],Bias [V],Err Bias [V],OV [V],Err OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,
33880,20,1187,46.549,0.0164435,4.079,0.210643,1000,64.0647,121,640.647,123,148,2287.44,2.37085,114.144,143.538,10.075,0.145643,110.5,0.159373,0.0210816,1.30649,0.0284397,1.32114,1.4529,,
33880,27,1187,46.549,0.0164435,4.709,0.240563,1000,64.5099,121,645.099,123,148,2367.21,2.91752,115.418,141.953,9.93997,0.191418,110.5,0.157065,0.0259542,1.60251,0.0432249,1.60852,1.74666,,
33881,20,1187,46.549,0.0164435,4.079,0.210643,1100,56.8809,121,568.809,123,148,2010.28,2.10195,99.7615,164.232,10.0787,0.144037,110.5,0.167787,0.0209137,1.27642,0.0273448,1.29181,1.43362,,
33881,27,1187,46.549,0.0164435,4.709,0.240563,1100,56.3958,121,563.958,123,148,2073.65,2.45358,101.461,161.481,10.0513,0.202692,110.5,0.143714,0.0254751,1.61732,0.0425968,1.64331,1.74242,,
33882,20,1187,46.549,0.0164435,4.079,0.210643,1200,49.9365,121,499.365,123,148,1780.33,1.87481,88.4533,185.228,10.1845,0.143084,110.5,0.156787,0.0209646,1.27259,0.0274141,1.28586,1.4124,,
33882,27,1187,46.549,0.0164435,4.709,0.240563,1200,50.2773,121,502.773,123,148,1847.81,2.07471,90.4911,181.057,10.231,0.212856,110.5,0.149149,0.0253997,1.61655,0.0422449,1.6292,1.75029,,
33883,20,1187,46.549,0.0164435,4.079,0.210643,1300,42.2463,121,422.463,123,148,1501.93,1.50189,75.1586,217.992,9.94566,0.139818,110.5,0.161252,0.0208474,1.30661,0.0280326,1.32016,1.44815,,
33883,27,1187,46.549,0.0164435,4.709,0.240563,1300,42.6588,121,426.588,123,148,1564.37,1.81207,76.2138,214.974,10.0651,0.193746,110.5,0.137086,0.0250906,1.67996,0.0435744,1.70056,1.77864,,
33884,20,1187,46.549,0.0164435,4.079,0.210643,1400,35.7072,121,357.072,123,148,1265.58,1.2983,63.0442,259.881,10.0756,0.145768,110.5,0.160193,0.0205911,1.2997,0.0276548,1.31201,1.43116,,
33884,27,1187,46.549,0.0164435,4.709,0.240563,1400,36.4791,121,364.791,123,148,1312.69,1.5229,64.4595,254.175,9.97101,0.197457,110.5,0.151705,0.0241797,1.62713,0.0409004,1.63816,1.7563,,
