Run,Channel,Bias [dac],Bias [V],Err Bias [V],OV [V],Err OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,
34023,20,1200,47.044,0.0232564,4.574,0.211284,1000,64.0647,121,640.647,123,148,2565.8,2.58227,127.728,128.273,11.3973,0.17233,110.5,0.195587,0.041648,1.29969,0.0551384,1.29423,1.42581,,
34023,27,1200,47.044,0.0232564,5.204,0.241124,1000,64.5099,121,645.099,123,148,2618.64,3.13589,127.264,128.74,11.4235,0.264717,110.5,0.150519,0.027961,1.64783,0.048452,1.63901,1.73637,,
34024,20,1200,47.044,0.0232564,4.574,0.211284,1100,56.8809,121,568.809,123,148,2248.9,2.25932,111.886,146.434,11.3248,0.172144,110.5,0.193076,0.0236621,1.30597,0.0313351,1.30679,1.45033,,
34024,27,1200,47.044,0.0232564,5.204,0.241124,1100,56.3958,121,563.958,123,148,2290.92,2.77486,112.301,145.894,11.2415,0.2302,110.5,0.172559,0.0293233,1.59405,0.0477082,1.57928,1.69225,,
34025,20,1200,47.044,0.0232564,4.574,0.211284,1200,49.9365,121,499.365,123,148,1993.3,2.03415,99.1984,165.164,10.8712,0.171208,110.5,0.18001,0.0245103,1.28413,0.0317507,1.28499,1.41095,,
34025,27,1200,47.044,0.0232564,5.204,0.241124,1200,50.2773,121,502.773,123,148,2042.51,2.48202,99.9185,163.974,11.4833,0.239623,110.5,0.162257,0.0286467,1.65974,0.0486011,1.64444,1.73471,,
34026,20,1200,47.044,0.0232564,4.574,0.211284,1300,42.2463,121,422.463,123,148,1682.01,1.67976,83.644,195.878,10.989,0.169142,110.5,0.185955,0.0238105,1.29185,0.0310872,1.29274,1.42676,,
34026,27,1200,47.044,0.0232564,5.204,0.241124,1300,42.6588,121,426.588,123,148,1733.69,2.01587,84.4392,194.033,11.4991,0.246498,110.5,0.144179,0.0281703,1.66823,0.0471884,1.65018,1.71906,,
34027,20,1200,47.044,0.0232564,4.574,0.211284,1400,35.7072,121,357.072,123,148,1417.53,1.40397,71.046,230.611,10.6143,0.16229,110.5,0.184374,0.0236937,1.30442,0.0312525,1.30774,1.44929,,
34027,27,1200,47.044,0.0232564,5.204,0.241124,1400,36.4791,121,364.791,123,148,1453.48,1.6405,70.262,233.185,11.2043,0.242507,110.5,0.159108,0.0258211,1.64063,0.0446035,1.62853,1.7454,,
